feature,importance
total_movements,0.9036908630391494
departures,0.07949633607346057
arrivals,0.026208240535181115
dow_sin,0.020624456951349023
acps_rmean_7d,0.015721152115952354
dow_cos,0.013161695244939663
movements_lag_1d,0.005270547601175879
dow,0.004958328280559842
movements_lag_365d,0.0031615293703369574
movements_rmean_7d,0.0013503427616515906
acps_lag_365d,0.0008076222136759514
acps_lag_7d,0.0006585183018587015
movements_lag_28d,0.0005227463918514475
acps_rmean_28d,0.0004524900930385267
movements_lag_7d,0.00036122936895249813
doy_sin,0.00035307514725115843
movements_yoy_change,0.00030785046227702615
acps_rmean_14d,0.00030155875291786315
acps_lag_1d,0.0002819193651944052
movements_rmean_28d,0.00027450338050069025
movements_lag_14d,0.00018645876771695714
doy_cos,0.00018521296584320668
acps_lag_28d,0.00013765608636356896
wind_speed_max,0.00011503859465104017
acps_rstd_28d,6.0114222241713924e-05
precipitation,4.863809940398589e-05
is_holiday,3.954391135899682e-05
wind_dir_cos,2.459886938067646e-05
cloud_cover,1.1976413352099424e-05
month_sin,9.446572231797124e-06
month,1.104817656993884e-06
is_severe_weather,7.875198935747285e-07
is_weekend,0.0
is_raining,0.0
is_bridge_day,0.0
is_pre_holiday,0.0
quarter,0.0
movements_rmean_14d,0.0
is_post_holiday,0.0
month_cos,0.0
temperature_2m,-5.703565806791655e-06
acps_lag_14d,-6.929999065619085e-06
wind_direction_10m,-1.8934727323749458e-05
wind_dir_sin,-3.8458635821592144e-05
relative_humidity_2m,-4.114593744463102e-05
surface_pressure,-0.00011750039144943214
arr_dep_imbalance,-0.00020269814640943017
movements_lag_3d,-0.00031591275345733695
acps_lag_3d,-0.00042039029873768284
wind_gusts_10m,-0.0005427160562865186
acps_lag_2d,-0.000659916805379468
wind_speed_10m,-0.0006612756581081513
movements_lag_2d,-0.0011150256540324532
